country_code,city,state,state_code
US,Akutan,Alaska,AK
US,Cold Bay,Alaska,AK
US,False Pass,Alaska,AK
US,King Cove,Alaska,AK
US,Sand Point,Alaska,AK
US,Adak,Alaska,AK
US,Atka,Alaska,AK
US,Saint George Island,Alaska,AK
US,Nikolski,Alaska,AK
US,Saint Paul Island,Alaska,AK
US,Unalaska,Alaska,AK
US,Dutch Harbor,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Jber,Alaska,AK
US,Jber,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Indian,Alaska,AK
US,Chugiak,Alaska,AK
US,Eagle River,Alaska,AK
US,Girdwood,Alaska,AK
US,Anchorage,Alaska,AK
US,Anchorage,Alaska,AK
US,Kongiganak,Alaska,AK
US,Akiachak,Alaska,AK
US,Akiak,Alaska,AK
US,Aniak,Alaska,AK
US,Bethel,Alaska,AK
US,Chefornak,Alaska,AK
US,Crooked Creek,Alaska,AK
US,Eek,Alaska,AK
US,Goodnews Bay,Alaska,AK
US,Kalskag,Alaska,AK
US,Kasigluk,Alaska,AK
US,Kipnuk,Alaska,AK
US,Kwethluk,Alaska,AK
US,Kwigillingok,Alaska,AK
US,Lower Kalskag,Alaska,AK
US,Mekoryuk,Alaska,AK
US,Napakiak,Alaska,AK
US,Toksook Bay,Alaska,AK
US,Nunapitchuk,Alaska,AK
US,Platinum,Alaska,AK
US,Quinhagak,Alaska,AK
US,Red Devil,Alaska,AK
US,Sleetmute,Alaska,AK
US,Tuluksak,Alaska,AK
US,Tuntutuliak,Alaska,AK
US,Tununak,Alaska,AK
US,Nightmute,Alaska,AK
US,King Salmon,Alaska,AK
US,Naknek,Alaska,AK
US,South Naknek,Alaska,AK
US,Clear,Alaska,AK
US,Cantwell,Alaska,AK
US,Healy,Alaska,AK
US,Anderson,Alaska,AK
US,Denali National Park,Alaska,AK
US,Aleknagik,Alaska,AK
US,Clarks Point,Alaska,AK
US,Dillingham,Alaska,AK
US,Ekwok,Alaska,AK
US,Manokotak,Alaska,AK
